Algorithm,Label,Config,Run name,Seed,progress.csv,reward_column,x_column,final_mean_run,auc_run
MAPPO,MAPPO-all-equal,"(1.0, 1.0, 1.0, 1.0)","MAPPO-all-equal (1,1,1,1) - 1",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-all-equal (1,1,1,1) - 1/progress.csv",episode_reward_mean,timesteps_total,622.0431323646936,0.8783258526661647
MAPPO,UNKNOWN,"(0.0, 0.0, 1.0, 1.0)","MAPPO-sync-energy (0,0,1,1) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-sync-energy (0,0,1,1) - 3/progress.csv",episode_reward_mean,timesteps_total,1012.6097329737759,0.9235662645832097
MAPPO,UNKNOWN,"(0.4, 0.3, 0.15, 0.15)","MAPPO-minimax - (0.4,0.3,0.15,0.15) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-minimax - (0.4,0.3,0.15,0.15) - 2/progress.csv",episode_reward_mean,timesteps_total,-0.012860691769492205,0.9632942276501539
MAPPO,UNKNOWN,"(1.0, 0.0, 1.0, 0.0)","MAPPO-occ-sync (1,0,1,0) - 1",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ-sync (1,0,1,0) - 1/progress.csv",episode_reward_mean,timesteps_total,-8e-05,0.9772951311222388
MAPPO,UNKNOWN,"(1.0, 0.0, 0.0, 0.0)","MAPPO-occ (1,0,0,0) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ (1,0,0,0) - 2/progress.csv",episode_reward_mean,timesteps_total,-0.0016525872562637278,0.9762670612680264
MAPPO,UNKNOWN,"(0.0, 0.0, 1.0, 0.0)","MAPPO-sync - (0,0,1,0) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-sync - (0,0,1,0) - 2/progress.csv",episode_reward_mean,timesteps_total,-0.00726,0.9713918731838993
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 0.0)","MAPPO-up - (0,1,0,0) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up - (0,1,0,0) - 3/progress.csv",episode_reward_mean,timesteps_total,1453.9846328312522,0.905974200506582
MAPPO,UNKNOWN,"(1.0, 0.0, 1.0, 0.0)","MAPPO-occ-sync (1,0,1,0) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ-sync (1,0,1,0) - 4/progress.csv",episode_reward_mean,timesteps_total,-8e-05,0.9772951311222388
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 1.0)","MAPPO-up-energy (0,1,0,1) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up-energy (0,1,0,1) - 5/progress.csv",episode_reward_mean,timesteps_total,1553.5009147931696,0.9116355745274174
MAPPO,UNKNOWN,"(0.4, 0.3, 0.15, 0.15)","MAPPO-Weighted (0.4,0.3,0.15,0.15) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-Weighted (0.4,0.3,0.15,0.15) - 3/progress.csv",episode_reward_mean,timesteps_total,472.76847868730675,0.897140571030602
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 1.0)","MAPPO-up-energy (0,1,0,1) - 1",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up-energy (0,1,0,1) - 1/progress.csv",episode_reward_mean,timesteps_total,1553.5009147931696,0.9116355745274174
MAPPO,UNKNOWN,"(0.0, 1.0, 1.0, 0.0)","MAPPO-up-sync (0,1,1,0) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up-sync (0,1,1,0) - 4/progress.csv",episode_reward_mean,timesteps_total,694.7450076905454,0.8972730504690084
MAPPO,MAPPO-all-equal,"(1.0, 1.0, 1.0, 1.0)","MAPPO-all-equal (1,1,1,1) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-all-equal (1,1,1,1) - 4/progress.csv",episode_reward_mean,timesteps_total,622.0431323646936,0.8783258526661647
MAPPO,UNKNOWN,"(0.0, 0.0, 0.0, 1.0)","MAPPO-energy  (0,0,0,1) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-energy  (0,0,0,1) - 5/progress.csv",episode_reward_mean,timesteps_total,2043.4104507622949,0.9247550418132319
